Rank,Country/Territory,GDP(US$million)
,World,"87,751,541"
1,United States,"21,427,700"
2,China[n 5],"14,342,903"
3,Japan,"5,081,770"
4,Germany,"3,845,630"
5,India,"2,875,142"
6,United Kingdom,"2,827,113"
7,France,"2,715,518"
8,Italy,"2,001,244"
9,Brazil,"1,839,758"
10,Canada,"1,736,426"
11,Russia[n 3],"1,699,877"
12,"Korea, South","1,642,383"
13,Spain,"1,394,116"
14,Australia,"1,392,681"
15,Mexico,"1,258,287"
16,Indonesia,"1,119,191"
17,Netherlands,"909,070"
18,Saudi Arabia,"792,967"
19,Turkey,"754,412"
20,Switzerland,"703,082"
21,Poland,"592,164"
,Taiwan,"574,905 (2017)"
22,Thailand,"543,650"
23,Sweden,"530,833"
24,Belgium,"529,607"
25,Argentina,"449,663"
26,Nigeria,"448,120"
27,Austria,"446,315"
28,Iran,"445,345 (2017)"
29,United Arab Emirates,"421,142"
30,Norway,"403,336"
31,Israel,"395,099"
32,Ireland,"388,699"
33,Philippines,"376,796"
34,Singapore,"372,063"
,Hong Kong,"366,030"
35,Malaysia,"364,702"
36,South Africa,"351,432"
37,Denmark,"348,078"
38,Colombia,"323,803"
39,Egypt,"303,175"
40,Bangladesh,"302,571"
41,Chile,"282,318"
42,Pakistan,"278,222"
43,Finland,"268,761"
44,Vietnam,"261,921"
45,Romania,"250,077"
46,Czech Republic,"246,489"
47,Portugal,"237,686"
48,Iraq,"234,094"
49,Peru,"226,848"
50,Greece,"209,853"
51,New Zealand,"206,929"
52,Qatar,"183,466"
53,Kazakhstan,"180,162"
54,Algeria,"169,988"
55,Hungary,"160,967"
56,Ukraine,"153,781"
57,Kuwait,"134,761"
58,Morocco[n 6],"118,725"
59,Ecuador,"107,436"
60,Slovak Republic,"105,422"
61,Puerto Rico,"104,989"
,Cuba,"100,023 (2018)"
62,Ethiopia,"96,108"
63,Kenya,"95,503"
64,Angola,"94,635"
65,Dominican Republic,"88,941"
66,Sri Lanka,"84,009"
67,Oman,"76,983"
68,Guatemala,"76,710"
69,Myanmar,"76,086"
70,Luxembourg,"71,105"
71,Bulgaria,"67,927"
72,Ghana,"66,984"
73,Panama,"66,801"
74,Tanzania[n 7],"63,177"
75,Belarus,"63,080"
76,Costa Rica,"61,774"
77,Croatia,"60,416"
78,Cote d'Ivoire,"58,792"
79,Uzbekistan,"57,921"
,Uruguay,"56,046"
80,Lithuania,"54,219"
81,Macau,"53,859"
82,Slovenia,"53,742"
83,Lebanon,"53,367"
84,Libya,"52,076"
85,Serbia,"51,409"
86,Azerbaijan,"48,048"
87,"Congo, Democratic Republic of the","47,320"
88,Jordan,"43,744"
89,Bolivia,"40,895"
90,Turkmenistan,"40,761 (2018)"
91,Tunisia,"38,798"
92,Cameroon,"38,760"
93,Bahrain,"38,574"
94,Paraguay,"38,145"
95,Uganda,"34,387"
96,Latvia,"34,117"
97,Estonia,"31,387"
98,Nepal,"30,641"
99,Cambodia,"27,089"
100,El Salvador,"27,023"
101,Honduras,"25,095"
102,Papua New Guinea,"24,970"
103,Cyprus[n 8],"24,565"
104,Iceland,"24,188"
105,Trinidad and Tobago,"24,100"
106,Senegal,"23,578"
107,Zambia,"23,065"
108,Zimbabwe,"21,441"
109,Bosnia and Herzegovina,"20,048"
110,Afghanistan,"19,101"
111,Sudan,"18,902"
112,Botswana,"18,341"
113,Laos,"18,174"
114,Georgia[n 9],"17,743"
115,Mali,"17,510"
116,Gabon,"16,658"
117,Jamaica,"16,458"
118,Burkina Faso,"15,746"
,Albania,"15,278"
119,Mozambique,"14,934"
120,Malta,"14,786"
121,West Bank and Gaza,"14,616 (2018)"
122,Benin,"14,391"
123,Mauritius,"14,180"
124,Madagascar,"14,084"
125,Mongolia,"13,853"
126,Armenia,"13,673"
127,Guinea,"13,590"
128,Brunei,"13,469"
129,Niger,"12,928"
130,"Bahamas, The","12,827"
131,North Macedonia,"12,695"
132,Nicaragua,"12,521"
133,Namibia,"12,367"
134,Moldova[n 10],"11,955"
135,Chad,"11,315"
136,Equatorial Guinea,"11,027"
137,"Congo, Republic of the","10,821"
138,Rwanda,"10,122"
139,Haiti,"8,499"
140,Kyrgyzstan,"8,455"
,Tajikistan,"8,117"
141,Kosovo,"7,926"
142,Malawi,"7,667"
143,Mauritania,"7,594"
144,Maldives,"5,729"
145,Fiji,"5,536"
146,Montenegro,"5,495"
147,Togo,"5,460"
148,Barbados,"5,209"
149,Eswatini,"4,405"
150,Guyana,"4,280"
151,Suriname,"3,985"
152,Sierra Leone,"3,941"
153,Djibouti,"3,319"
154,Andorra,"3,154"
155,Liberia,"3,071"
156,Burundi,"3,012"
157,Lesotho,"2,460"
158,Bhutan,"2,447 (2018)"
159,Central African Republic,"2,220"
160,Saint Lucia,"2,122"
161,Cabo Verde,"1,982"
162,Belize,"1,880"
163,"Gambia, The","1,764"
164,Antigua and Barbuda,"1,728"
165,Seychelles,"1,699"
166,Timor-Leste,"1,674"
167,San Marino,"1,638 (2018)"
168,Solomon Islands,"1,425"
169,Guinea-Bissau,"1,340"
170,Grenada,"1,228"
171,Comoros,"1,186"
172,Saint Kitts and Nevis,"1,051"
173,Vanuatu,917
174,Samoa,851
175,Saint Vincent and the Grenadines,825
176,Dominica,596
177,Tonga,450 (2018)
178,Sao Tome and Principe,429
179,"Micronesia, Federated States of",402 (2018)
180,Palau,284 (2018)
181,Marshall Islands,221 (2018)
182,Kiribati,195
183,Nauru,118
184,Tuvalu,47
